fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Style
Tom Aaron,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Papy Abedi,71.0,185.0,72.0,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,1
Shamil Abdurakhimov,75.0,235.0,76.0,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,0
Danny Abbadi,71.0,155.0,72.0,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,0
Hiroyuki Abe,66.0,145.0,72.0,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,0
Ricardo Abreu,71.0,185.0,72.0,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,1
Daichi Abe,71.0,170.0,71.0,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,2
David Abbott,72.0,265.0,72.0,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,0
Klidson Abreu,72.0,205.0,74.0,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,0
Daniel Acacio,68.0,180.0,72.0,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,2
Scott Adams,72.0,225.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Juan Adams,77.0,265.0,80.0,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,2
Anthony Adams,73.0,185.0,76.0,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,0
Sam Adkins,75.0,225.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Israel Adesanya,76.0,185.0,80.0,3.95,0.49,2.63,0.61,0.0,0.0,0.82,0.3,2
Zarrukh Adashev,65.0,125.0,65.0,1.93,0.23,3.35,0.6,0.0,0.0,0.0,0.0,0
Marcelo Aguiar,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nick Agallar,68.0,155.0,72.0,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,0
Mariya Agapova,66.0,125.0,68.0,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,2
Edwin Aguilar,70.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fabio Aguiar,72.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jessica Aguilar,63.0,115.0,63.0,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,2
Kevin Aguilar,67.0,155.0,73.0,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0,2
Christian Aguilera,69.0,170.0,72.0,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0,0
Hitomi Akano,64.0,135.0,72.0,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,0
Mike Aina,69.0,155.0,72.0,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,0
Rostem Akman,70.0,170.0,72.0,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,0
Omari Akhmedov,72.0,185.0,73.0,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,1
Razak Al-Hassan,74.0,205.0,72.0,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,0
Yoshihiro Akiyama,70.0,170.0,75.0,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,1
Herdem Alacabek,74.0,205.0,75.0,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,1
Mostapha Al-Turk,74.0,245.0,77.0,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,0
Javi Alanis,66.0,135.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Heili Alateng,65.0,135.0,66.0,2.87,0.32,5.82,0.57,2.33,0.35,1.0,0.0,1
Brett Albee,70.0,225.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Amir Albazi,65.0,125.0,68.0,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,1
Wes Albritton,70.0,188.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
John Albert,68.0,135.0,68.0,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,1
Aleksandra Albu,62.0,115.0,63.0,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,1
Junior Albini,75.0,264.0,74.0,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,2
Israel Albuquerque,70.0,185.0,72.0,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,0
Juan Alcain,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ildemar Alcantara,74.0,185.0,78.0,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,0
Alfonso Alcarez,63.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Iuri Alcantara,69.0,135.0,71.0,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,0
Gilbert Aldana,73.0,250.0,72.0,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,1
Hector Aldana,71.0,170.0,72.0,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,2
Irene Aldana,69.0,135.0,68.0,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,2
JJ Aldrich,65.0,125.0,67.0,3.76,0.41,4.55,0.61,0.8,0.4,0.57,0.0,2
Jose Aldo,67.0,135.0,70.0,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,0
Kenneth Alexander,69.0,155.0,72.0,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,1
Jim Alers,69.0,145.0,71.0,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,1
Houston Alexander,72.0,205.0,72.0,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,0
John Alessio,70.0,155.0,72.0,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,1
Marcio Alexandre Junior,72.0,185.0,75.0,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,0
Olaf Alfonso,74.0,170.0,72.0,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,0
Pablo Alfonso,68.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Levi Alford,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bill Algeo,72.0,145.0,73.0,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0,2
Royce Alger,70.0,199.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Amir Aliakbari,75.0,250.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sultan Aliev,71.0,170.0,74.0,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,0
John Allan,73.0,205.0,75.0,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,1
Arnold Allen,68.0,145.0,70.0,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,0
George Allen,74.0,205.0,72.0,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,0
Ben Alloway,71.0,170.0,76.0,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,0
Brendan Allen,74.0,185.0,75.0,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,1
Ricardo Almeida,72.0,170.0,74.0,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,1
Magno Almeida,72.0,155.0,72.0,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,1
Thomas Almeida,67.0,145.0,70.0,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0,2
Ericka Almeida,66.0,115.0,72.0,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,0
Mauricio Alonso,74.0,170.0,72.0,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,2
Estefani Almeida,64.0,125.0,72.0,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,0
Sarah Alpar,64.0,135.0,63.0,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,1
Rico Altamirano,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ali AlQaisi,66.0,135.0,68.0,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,1
Mike Altman,70.0,185.0,72.0,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,0
Sean Alvarez,72.0,235.0,72.0,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,0
Jaime Alvarez,68.0,125.0,69.0,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,0
Joel Alvarez,75.0,155.0,77.0,2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6,1
Eddie Alvarez,69.0,155.0,69.0,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,1
Anthony Alves,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Amilcar Alves,72.0,170.0,72.0,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,0
Thiago Alves,69.0,170.0,70.0,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,2
Rafael Alves,68.0,145.0,68.0,2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9,1
Warlley Alves,71.0,170.0,72.0,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,0
Andre Amado,72.0,154.0,72.0,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,0
Maiara Amanajas dos Santos,65.0,115.0,72.0,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0,2
Adlan Amagov,74.0,170.0,76.0,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,1
Sam Alvey,74.0,205.0,75.0,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,0
Jimmy Ambriz,74.0,315.0,72.0,0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8,1
Chris Amarante,70.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJ Ambrose,70.0,170.0,72.0,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,0
Alen Amedovski,70.0,185.0,74.0,0.52,0.28,3.14,0.37,0.0,0.0,0.0,0.0,0
Makwan Amirkhani,70.0,145.0,72.0,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,1
Bertrand Amoussou,68.0,190.0,72.0,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0,2
Eryk Anders,73.0,185.0,75.0,3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1,0
Andy Anderson,66.0,240.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Karl Amoussou,71.0,185.0,72.0,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,0
Matt Andersen,74.0,230.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lowell Anderson,66.0,160.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Derek Anderson,72.0,155.0,72.0,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,2
Corey Anderson,75.0,205.0,79.0,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,1
Megan Anderson,72.0,145.0,72.0,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,0
Viscardi Andrade,71.0,170.0,75.0,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,0
Alex Andrade,71.0,200.0,72.0,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,0
Jermaine Andre,67.0,200.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jessica Andrade,61.0,115.0,62.0,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,1
Reese Andy,72.0,205.0,72.0,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,0
Dylan Andrews,73.0,185.0,74.0,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,1
Julius Anglickas,75.0,205.0,72.0,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,1
Collin Anglin,69.0,145.0,71.0,5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0,1
Magomed Ankalaev,75.0,205.0,75.0,3.41,0.53,1.78,0.65,1.18,0.33,0.85,0.0,0
Yoji Anjo,71.0,205.0,72.0,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0,0
Nina Ansaroff,65.0,115.0,64.0,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,2
Angelo Antonio,70.0,205.0,72.0,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,0
Adam Antolin,65.0,125.0,63.0,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,2
Gadzhimurad Antigulov,71.0,205.0,70.0,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,1
Azunna Anyanwu,73.0,251.0,72.0,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,0
Shinsho Anzai,67.0,170.0,70.0,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,0
Josh Appelt,70.0,255.0,72.0,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,0
Aori Qileng,67.0,125.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kenji Arai,70.0,145.0,72.0,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,2
Erik Apple,72.0,170.0,72.0,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,1
Romie Aram,70.0,170.0,72.0,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0,1
Shinya Aoki,71.0,154.0,72.0,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,1
Igor Araujo,73.0,170.0,77.0,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,0
Felipe Arantes,68.0,135.0,73.0,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,0
Julio Arce,67.0,145.0,70.0,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6,2
Viviane Araujo,64.0,125.0,68.0,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2,1
